season_id,match_id,slug,title,time_of_day,date,time,status,status_description,winner_team_id,toss_winner_team_id,toss_choice,ground_id,team_1_id,team_2_id,team_1_score,team_1_scoreInfo,team_2_scoreInfo
4162,18581,england-vs-netherlands-1st-match-group-b,"1st Match, Group B",daynight,2009-06-05,22:00:00,RESULT,Netherlands won by 4 wickets (with 0 balls remaining),15,15,2,10,1,15,163/6,,"20 ov, T:163"
4162,18582,new-zealand-vs-scotland-2nd-match-group-d,"2nd Match, Group D",day,2009-06-06,14:30:00,RESULT,New Zealand won by 7 wickets (with 6 balls remaining),5,5,2,45,30,5,90/3,7/7 ov,"6/7 ov, T:90"
4162,18583,australia-vs-west-indies-3rd-match-group-c,"3rd Match, Group C",day,2009-06-06,18:30:00,RESULT,West Indies won by 7 wickets (with 25 balls remaining),4,2,1,45,2,4,172/3,,"15.5/20 ov, T:170"
4162,18584,bangladesh-vs-india-4th-match-group-a,"4th Match, Group A",night,2009-06-06,22:30:00,RESULT,India won by 25 runs,6,6,1,34,6,25,155/8,,"20 ov, T:181"
4162,18585,scotland-vs-south-africa-5th-match-group-d,"5th Match, Group D",day,2009-06-07,18:00:00,RESULT,South Africa won by 130 runs,3,30,2,45,3,30,81,,"15.4/20 ov, T:212"
4162,18586,england-vs-pakistan-6th-match-group-b,"6th Match, Group B",daynight,2009-06-07,22:00:00,RESULT,England won by 48 runs,1,7,2,45,1,7,137/7,,"20 ov, T:186"
4162,18587,bangladesh-vs-ireland-7th-match-group-a,"7th Match, Group A",day,2009-06-08,18:00:00,RESULT,Ireland won by 6 wickets (with 10 balls remaining),29,29,2,34,25,29,138/4,,"18.2/20 ov, T:138"
4162,18588,australia-vs-sri-lanka-8th-match-group-c,"8th Match, Group C",daynight,2009-06-08,22:00:00,RESULT,Sri Lanka won by 6 wickets (with 6 balls remaining),8,8,2,34,2,8,160/4,,"19/20 ov, T:160"
4162,18589,netherlands-vs-pakistan-9th-match-group-b,"9th Match, Group B",day,2009-06-09,18:00:00,RESULT,Pakistan won by 82 runs,7,7,1,10,7,15,93,,"17.3/20 ov, T:176"
4162,18590,new-zealand-vs-south-africa-10th-match-group-d,"10th Match, Group D",daynight,2009-06-09,22:00:00,RESULT,South Africa won by 1 run,3,5,2,10,3,5,127/5,,"20 ov, T:129"
4162,18592,sri-lanka-vs-west-indies-11th-match-group-c,"11th Match, Group C",day,2009-06-10,18:00:00,RESULT,Sri Lanka won by 15 runs,8,4,2,34,8,4,177/5,,"20 ov, T:193"
4162,18591,india-vs-ireland-12th-match-group-a,"12th Match, Group A",night,2009-06-10,22:50:00,RESULT,India won by 8 wickets (with 15 balls remaining),6,6,2,34,29,6,113/2,18/18 ov,"15.3/18 ov, T:113"
4162,18593,ireland-vs-new-zealand-13th-match-group-f,"13th Match, Group F",day,2009-06-11,18:00:00,RESULT,New Zealand won by 83 runs,5,29,2,34,5,29,115,,"16.4/20 ov, T:199"
4162,18594,england-vs-south-africa-14th-match-group-e,"14th Match, Group E",daynight,2009-06-11,22:00:00,RESULT,South Africa won by 7 wickets (with 10 balls remaining),3,1,1,34,1,3,114/3,,"18.2/20 ov, T:112"
4162,18595,pakistan-vs-sri-lanka-15th-match-group-f,"15th Match, Group F",day,2009-06-12,18:00:00,RESULT,Sri Lanka won by 19 runs,8,8,1,10,8,7,131/9,,"20 ov, T:151"
4162,18596,india-vs-west-indies-16th-match-group-e,"16th Match, Group E",daynight,2009-06-12,22:00:00,RESULT,West Indies won by 7 wickets (with 8 balls remaining),4,6,1,10,6,4,156/3,,"18.4/20 ov, T:154"
4162,18597,south-africa-vs-west-indies-17th-match-group-e,"17th Match, Group E",day,2009-06-13,18:00:00,RESULT,South Africa won by 20 runs,3,4,2,45,3,4,163/9,,"20 ov, T:184"
4162,18598,new-zealand-vs-pakistan-18th-match-group-f,"18th Match, Group F",daynight,2009-06-13,22:00:00,RESULT,Pakistan won by 6 wickets (with 41 balls remaining),7,5,1,45,5,7,100/4,,"13.1/20 ov, T:100"
4162,18599,ireland-vs-sri-lanka-19th-match-group-f,"19th Match, Group F",day,2009-06-14,18:00:00,RESULT,Sri Lanka won by 9 runs,8,8,1,10,8,29,135/7,,"20 ov, T:145"
4162,18600,england-vs-india-20th-match-group-e,"20th Match, Group E",daynight,2009-06-14,22:00:00,RESULT,England won by 3 runs,1,6,2,10,1,6,150/5,,"20 ov, T:154"
4162,18602,ireland-vs-pakistan-21st-match-group-f,"21st Match, Group F",day,2009-06-15,18:00:00,RESULT,Pakistan won by 39 runs,7,7,1,45,7,29,120/9,,"20 ov, T:160"
4162,18601,england-vs-west-indies-22nd-match-group-e,"22nd Match, Group E",daynight,2009-06-15,22:00:00,RESULT,West Indies won by 5 wickets (with 4 balls remaining) (D/L method),4,1,1,45,1,4,82/5,,"8.2/9 ov, T:80"
